"Date","Site","Temp_C","Log_SpCond_mScm","Log_Cond_mScm","Log_TDS_mgl","Log_Sal_ppt","DO_percent","DO_mgL","pH","Month","Year","Season","Log_Unfiltered_TN_ugL","Log_Filtered_NOx_ugL","Log_Filtered_NHx_ugL","Log_Unfiltered_TP_ugL","Filtered_OP_ugL","Log_TSS_mgL","fecal_coliform_colonies_per100mL"
"2016-02-02","WT1",10.18,0.447885823992117,0.340748793388473,0.313349819200359,0.246860077931526,96.3,10.8,6.95,2,2016,"Winter",6.79234442747081,6.11809719804135,4.97673374242057,4.71849887129509,17,0.693147180559945,37
"2016-02-02","AN2",9.13,0.258510695151501,0.186479566942618,0.175632568643158,0.131028262406404,83,9.55,6.93,2,2016,"Winter",6.62007320653036,5.59471137960184,4.58496747867057,3.76120011569356,1,1.09861228866811,132
"2016-02-02","AN3",10.63,0.173953307123438,0.122217632724249,0.116893751471499,0.0861776962410524,56.8,6.15,6.93,2,2016,"Winter",6.22257626807137,4.23410650459726,4.21950770517611,4.71849887129509,4,1.38629436111989,18
"2016-02-02","AN4",9.3,0.271552690521897,0.197210169287705,0.184818436992542,0.139761942375159,70,9.05,6.78,2,2016,"Winter",6.54965074223381,5.67675380226828,4.61512051684126,3.63758615972639,2,1.09861228866811,175
"2016-02-02","AN0",9.34,0.981329128053377,0.777028664540647,0.737642420446497,0.615185639090233,66,7.52,6.73,2,2016,"Winter",6.92165818415113,6.15060276844628,4.83628190695148,3.91202300542815,3,1.09861228866811,50
"2016-02-02","P53",10.65,0.731405892677036,0.578297338881003,0.531804030151182,0.431782416425538,47.2,5.23,6.98,2,2016,"Winter",6.42162226780652,5.12989871492307,4.58496747867057,3.09104245335832,17,0,3
"2016-02-02","P51",10.43,0.316269529303693,0.238229188732251,0.217527812528574,0.165514438477573,43.1,4.81,6.95,2,2016,"Winter",6.7945865808765,4.36944785246702,6.04973345523196,4.46590811865458,8,2.77258872223978,37
"2016-02-02","CP3",7.82,0.47933495667462,0.34571510370239,0.336472236621213,0.262364264467491,87.7,10.38,6.53,2,2016,"Winter",6.5694814204143,5.76832099579377,4.17438726989564,4.38202663467388,34,1.09861228866811,13
"2016-02-02","CP1",11.06,0.33718626735487,0.25386672395705,0.227135572583747,0.173953307123438,87.4,9.61,7.04,2,2016,"Winter",7.06987412845857,6.37161184723186,5.70711026474888,5.4553211153577,92,3.97029191355212,0
"2016-02-02","CP2",10.71,0.395414772254663,0.303801454331664,0.276873873735178,0.215111379616945,88.3,9.71,7,2,2016,"Winter",6.76619171466035,5.98645200528444,5.25749537202778,4.81218435537242,37,2.30258509299405,0
"2016-03-08","WT5",11.08,0.318453731118535,0.242946178610389,0.218331994316988,0.165514438477573,98,10.74,7.25,3,2016,"Spring",6.59167373200866,4.76501888692998,3.81404259706794,3.7992275112828,7,2.73002910782098,45
"2016-03-08","WT3",9.5,0.223943231484774,0.162118849476435,0.151002873536527,0.113328685307003,88,10.03,7.44,3,2016,"Spring",6.09281704136827,3.95124371858143,2.81341071676004,2.96183072187831,5.66666666666667,1.84582669049833,38.3333333333333
"2016-03-08","AN5",9.44,0.201306856705035,0.0554347068881005,0.135404637006203,0.104360015324243,74.3,8.48,7.4,3,2016,"Spring",6.06688118639274,0.693147180559945,2.77258872223978,3.47609868983527,6.33333333333333,2.07944154167984,30
